﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
MG,ITAJUBÁ,MEDICINA,AFYA FACULDADE DE MEDICINA DE ITAJUBÁ (284),5,"TIPOS DE CONCORRÊNCIA Ampla",726.50,566.94,
MG,ITUIUTABA,MEDICINA,FACULDADE MAIS DE ITUIUTABA (507),4,,,491.58,
MG,JUIZ DE FORA,MEDICINA,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA (2843),5,"TIPOS DE CONCORRÊNCIA Ampla",737.32,,
MG,MANHUAÇU,MEDICINA,CENTRO UNIVERSITÁRIO UNIFACIG (1984),4,"TIPOS DE CONCORRÊNCIA Ampla",763.36,596.06,645.82
MG,MATIPÓ,MEDICINA,CENTRO UNIVERSITÁRIO VÉRTICE (4846),5,"TIPOS DE CONCORRÊNCIA Ampla",733.54,601.58,
MG,MONTES CLAROS,MEDICINA,CENTRO UNIVERSITÁRIO DO NORTE DE MINAS (1600),4,"TIPOS DE CONCORRÊNCIA Ampla",738.28,702.74,698.44
MG,MURIAÉ,MEDICINA,CENTRO UNIVERSITÁRIO FAMINAS (1913),5,"TIPOS DE CONCORRÊNCIA Ampla",721.64,637.86,
MG,PARACATU,MEDICINA,CENTRO UNIVERSITÁRIO ATENAS (2579),5,"TIPOS DE CONCORRÊNCIA Ampla",664.74,566.72,604.84
MG,PASSOS,MEDICINA,FACULDADE ATENAS PASSOS (22197),4,"TIPOS DE CONCORRÊNCIA Ampla",672.86,516.08,532.24
MG,PATOS DE MINAS,MEDICINA,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS (3371),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",733.88,717.02,717.42
MG,PONTE NOVA,MEDICINA,FACULDADE DINÂMICA DO VALE DO PIRANGA (2636),4,"TIPOS DE CONCORRÊNCIA Ampla",668.68,,
MG,POUSO ALEGRE,MEDICINA,FACULDADE ZARNS - POUSO ALEGRE (11860),5,"TIPOS DE CONCORRÊNCIA Ampla",660.20,570.60,544.84
MG,SETE LAGOAS,MEDICINA,FACULDADE ATENAS SETE LAGOAS (22194),5,"TIPOS DE CONCORRÊNCIA Ampla",692.04,544.96,
MG,SÃO JOÃO DEL REI,MEDICINA,AFYA CENTRO UNIVERSITÁRIO DE SÃO JOÃO DEL-REI (1599),5,"TIPOS DE CONCORRÊNCIA Ampla",735.06,684.32,580.12
MG,TEÓFILO OTONI,MEDICINA,CENTRO UNIVERSITÁRIO ALFAUNIPAC (14156),5,"TIPOS DE CONCORRÊNCIA Ampla",707.96,681.88,
MG,UBERABA,MEDICINA,UNIVERSIDADE DE UBERABA (143),4,"TIPOS DE CONCORRÊNCIA Ampla",697.36,689.10,722.62
MG,UBERLÂNDIA,MEDICINA,CENTRO UNIVERSITÁRIO DO TRABALHO (4910),4,,,644.68,490.28
MG,UBÁ,MEDICINA,AFYA FACULDADE DE MEDICINA DE ITAJUBÁ (284),5,"TIPOS DE CONCORRÊNCIA Ampla",726.50,566.94,
MG,VARGINHA,MEDICINA,CENTRO UNIVERSITÁRIO DO SUL DE MINAS (3368),5,"TIPOS DE CONCORRÊNCIA Ampla",733.04,646.26,
MG,VESPASIANO,MEDICINA,FACULDADE DA SAÚDE E ECOLOGIA HUMANA (1664),5,"TIPOS DE CONCORRÊNCIA Ampla",691.96,542.02,
PA,ABAETETUBA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ABAETETUBA (25307),0,"TIPOS DE CONCORRÊNCIA Ampla",729.00,676.22,611.28
PA,ABAETETUBA,MEDICINA,ESCOLA SUPERIOR DA AMAZÔNIA DE ABAETETUBA (22317),5,"TIPOS DE CONCORRÊNCIA Ampla",739.08,689.20,612.56
